Time (s),Message Name,Arbitration ID,Signals
0.020521,MM5_10_TX2_178,0x178,"{'PSIP3': -0.03999999999999204, 'CLU_STAT5': 10, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.03579078499999966, 'MSG_CNT_TX2': 15, 'AX1_STAT': 0, 'CRC_TX2': 179}"
0.021275,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0050346450000003, 'MSG_CNT_TX3': 15, 'AZ_STAT': 0, 'CRC_TX3': 6}"
0.021698,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021642169999999794, 'MSG_CNT_TX1': 0, 'AY1_STAT': 0, 'CRC_TX1': 120}"
0.022104,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 0, 'PSIP3_STAT': 0, 'CLU_DIAG': 0, 'AX1': 0.036428110000000125, 'MSG_CNT_TX2': 0, 'AX1_STAT': 0, 'CRC_TX2': 170}"
0.022467,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0042698549999995, 'MSG_CNT_TX3': 0, 'AZ_STAT': 0, 'CRC_TX3': 178}"
0.022755,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021514704999999523, 'MSG_CNT_TX1': 1, 'AY1_STAT': 0, 'CRC_TX1': 233}"
0.023073,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 0, 'PSIP3_STAT': 0, 'CLU_DIAG': 0, 'AX1': 0.03783022499999955, 'MSG_CNT_TX2': 1, 'AX1_STAT': 0, 'CRC_TX2': 21}"
0.023402,MM5_10_TX3_17C,0x17c,"{'AZ': 1.004014925, 'MSG_CNT_TX3': 1, 'AZ_STAT': 0, 'CRC_TX3': 172}"
0.023739,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 2, 'AY1_STAT': 0, 'CRC_TX1': 200}"
0.024218,MM5_10_TX2_178,0x178,"{'PSIP3': 0.0, 'CLU_STAT5': 1, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03859501500000029, 'MSG_CNT_TX2': 2, 'AX1_STAT': 0, 'CRC_TX2': 131}"
0.024559,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0047797149999997, 'MSG_CNT_TX3': 2, 'AZ_STAT': 0, 'CRC_TX3': 130}"
0.024842,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.022661890000000184, 'MSG_CNT_TX1': 3, 'AY1_STAT': 0, 'CRC_TX1': 75}"
0.025177,MM5_10_TX2_178,0x178,"{'PSIP3': 0.03999999999999204, 'CLU_STAT5': 2, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03795768999999982, 'MSG_CNT_TX2': 3, 'AX1_STAT': 0, 'CRC_TX2': 123}"
0.025548,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0066916900000002, 'MSG_CNT_TX3': 3, 'AZ_STAT': 0, 'CRC_TX3': 8}"
0.025869,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.023299214999999762, 'MSG_CNT_TX1': 4, 'AY1_STAT': 0, 'CRC_TX1': 145}"
0.026196,MM5_10_TX2_178,0x178,"{'PSIP3': 0.030000000000001137, 'CLU_STAT5': 3, 'PSIP3_STAT': 0, 'CLU_DIAG': 39, 'AX1': 0.0370654349999997, 'MSG_CNT_TX2': 4, 'AX1_STAT': 0, 'CRC_TX2': 52}"
0.026588,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0086036649999999, 'MSG_CNT_TX3': 4, 'AZ_STAT': 0, 'CRC_TX3': 255}"
0.026863,MM5_10_TX1_174,0x174,"{'PSIP1': 0.125, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.023426680000000033, 'MSG_CNT_TX1': 5, 'AY1_STAT': 0, 'CRC_TX1': 216}"
0.027184,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 4, 'PSIP3_STAT': 0, 'CLU_DIAG': 47, 'AX1': 0.03681050500000005, 'MSG_CNT_TX2': 5, 'AX1_STAT': 0, 'CRC_TX2': 250}"
0.027575,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0093684549999997, 'MSG_CNT_TX3': 5, 'AZ_STAT': 0, 'CRC_TX3': 231}"
0.027881,MM5_10_TX1_174,0x174,"{'PSIP1': 0.11000000000001364, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02304428500000011, 'MSG_CNT_TX1': 6, 'AY1_STAT': 0, 'CRC_TX1': 38}"
0.028206,MM5_10_TX2_178,0x178,"{'PSIP3': -0.125, 'CLU_STAT5': 5, 'PSIP3_STAT': 0, 'CLU_DIAG': 18, 'AX1': 0.03783022499999955, 'MSG_CNT_TX2': 6, 'AX1_STAT': 0, 'CRC_TX2': 152}"
0.028523,MM5_10_TX3_17C,0x17c,"{'AZ': 1.007838875, 'MSG_CNT_TX3': 6, 'AZ_STAT': 0, 'CRC_TX3': 202}"
0.028802,MM5_10_TX1_174,0x174,"{'PSIP1': 0.06999999999999318, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.022661890000000184, 'MSG_CNT_TX1': 7, 'AY1_STAT': 0, 'CRC_TX1': 218}"
0.029165,MM5_10_TX2_178,0x178,"{'PSIP3': -0.125, 'CLU_STAT5': 6, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.03897741000000021, 'MSG_CNT_TX2': 7, 'AX1_STAT': 0, 'CRC_TX2': 204}"
0.029532,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0054170400000002, 'MSG_CNT_TX3': 7, 'AZ_STAT': 0, 'CRC_TX3': 115}"
0.029863,MM5_10_TX1_174,0x174,"{'PSIP1': 0.03999999999999204, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.022534424999999914, 'MSG_CNT_TX1': 8, 'AY1_STAT': 0, 'CRC_TX1': 62}"
0.030247,MM5_10_TX2_178,0x178,"{'PSIP3': -0.05500000000000682, 'CLU_STAT5': 7, 'PSIP3_STAT': 0, 'CLU_DIAG': 38, 'AX1': 0.03897741000000021, 'MSG_CNT_TX2': 8, 'AX1_STAT': 0, 'CRC_TX2': 80}"
0.030621,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00363253, 'MSG_CNT_TX3': 8, 'AZ_STAT': 0, 'CRC_TX3': 211}"
0.031038,MM5_10_TX1_174,0x174,"{'PSIP1': 0.03999999999999204, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 9, 'AY1_STAT': 0, 'CRC_TX1': 49}"
0.031500,MM5_10_TX2_178,0x178,"{'PSIP3': -0.014999999999986358, 'CLU_STAT5': 8, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.038212620000000364, 'MSG_CNT_TX2': 9, 'AX1_STAT': 0, 'CRC_TX2': 188}"
0.031878,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0029952049999995, 'MSG_CNT_TX3': 9, 'AZ_STAT': 0, 'CRC_TX3': 0}"
0.032167,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 10, 'AY1_STAT': 0, 'CRC_TX1': 32}"
